"","participants","item","genre_grammatical","score_miserky","description","stereotype","numero_item","question","score","RT","genre_gram_le"
"1","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","mannequin","la",0.68,"feminin_la","feminin",20,1,0.68,NA,"la"
"2","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","journaliste","la",0.46,"neutre_la","neutre",3,1,0.81,NA,"la"
"3","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","pilote","la",0.24,"masculin_la","masculin",31,1,0.65,NA,"la"
"4","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","babysitter","la",0.9,"feminin_la","feminin",32,1,0.93,NA,"la"
"5","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","physiothérapeute","la",0.51,"neutre_la","neutre",27,1,0.62,NA,"la"
"6","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","bagagiste","la",0.19,"masculin_la","masculin",13,1,0.84,NA,"la"
"7","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","modèle","la",0.65,"feminin_la","feminin",26,1,0.63,NA,"la"
"8","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","pédiatre","la",0.51,"neutre_la","neutre",33,1,0.99,NA,"la"
"9","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","diplomate","la",0.29,"masculin_la","masculin",1,1,0.96,NA,"la"
"10","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","secrétaire","la",0.82,"feminin_la","feminin",2,1,0.74,NA,"la"
"11","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","photographe","la",0.45,"neutre_la","neutre",21,1,0.62,NA,"la"
"12","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","bassiste","la",0.29,"masculin_la","masculin",7,1,0.97,NA,"la"
"13","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","manucure","la",0.9,"feminin_la","feminin",14,1,0.89,NA,"la"
"14","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","guide touristique","la",0.44,"neutre_la","neutre",15,1,0.68,NA,"la"
"15","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","croque-mort","la",0.23,"masculin_la","masculin",25,1,0.8,NA,"la"
"16","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","flûtiste","la",0.63,"feminin_la","feminin",8,1,0.63,NA,"la"
"17","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","violoniste","la",0.56,"neutre_la","neutre",9,1,0.91,NA,"la"
"18","1541868099 25ebb7a66d2abf56bc15f277e86a69f6","clown","la",0.18,"masculin_la","masculin",19,1,0.65,NA,"la"
"19","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","pédiatre","la",0.51,"neutre_la","neutre",32,1,0.72,NA,"la"
"20","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","manucure","la",0.9,"feminin_la","feminin",13,1,0.77,NA,"la"
"21","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","bagagiste","la",0.19,"masculin_la","masculin",15,1,0.82,NA,"la"
"22","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","photographe","la",0.45,"neutre_la","neutre",20,1,0.72,NA,"la"
"23","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","flûtiste","la",0.63,"feminin_la","feminin",7,1,0.82,NA,"la"
