participants,item,genre_grammatical,score_miserky,description,stereotype,numero_item,question,score,RT,genre_gram_le
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,graphiste,le,0.43,neutre_le,neutre,6,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,ministre,le,0.25,masculin_le,masculin,4,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,logopédiste,le,0.66,feminin_le,feminin,23,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,vétérinaire,le,0.49,neutre_le,neutre,36,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,taxidermiste,le,0.3,masculin_le,masculin,28,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,fleuriste,le,0.81,feminin_le,feminin,17,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,zoologiste,le,0.48,neutre_le,neutre,18,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,métallurgiste,le,0.21,masculin_le,masculin,34,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,bibliothécaire,le,0.67,feminin_le,feminin,35,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,sténographe,le,0.5,neutre_le,neutre,30,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,chimiste,le,0.3,masculin_le,masculin,22,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,réceptionniste,le,0.74,feminin_le,feminin,5,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,gynécologue,le,0.55,neutre_le,neutre,12,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,paysagiste,le,0.28,masculin_le,masculin,16,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,nutritionniste,le,0.74,feminin_le,feminin,11,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,biologiste,le,0.48,neutre_le,neutre,24,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,neurologue,le,0.32,masculin_le,masculin,10,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,dactylo,le,0.65,feminin_le,feminin,29,1.,NA,NA,ale
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,mannequin,la,0.68,feminin_la,feminin,20,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,journaliste,la,0.46,neutre_la,neutre,3,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,pilote,la,0.24,masculin_la,masculin,31,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,babysitter,la,0.9,feminin_la,feminin,32,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,physiothérapeute,la,0.51,neutre_la,neutre,27,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,bagagiste,la,0.19,masculin_la,masculin,13,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,modèle,la,0.65,feminin_la,feminin,26,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,pédiatre,la,0.51,neutre_la,neutre,33,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,diplomate,la,0.29,masculin_la,masculin,1,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,secrétaire,la,0.82,feminin_la,feminin,2,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,photographe,la,0.45,neutre_la,neutre,21,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,bassiste,la,0.29,masculin_la,masculin,7,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,manucure,la,0.9,feminin_la,feminin,14,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,guide touristique,la,0.44,neutre_la,neutre,15,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,croque-mort,la,0.23,masculin_la,masculin,25,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,flûtiste,la,0.63,feminin_la,feminin,8,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,violoniste,la,0.56,neutre_la,neutre,9,1.,NA,NA,la
1541868099 25ebb7a66d2abf56bc15f277e86a69f6,clown,la,0.18,masculin_la,masculin,19,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,sténographe,le,0.5,neutre_le,neutre,29,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,chimiste,le,0.3,masculin_le,masculin,24,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,nutritionniste,le,0.74,feminin_le,feminin,10,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,zoologiste,le,0.48,neutre_le,neutre,17,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,métallurgiste,le,0.21,masculin_le,masculin,36,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,fleuriste,le,0.81,feminin_le,feminin,16,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,biologiste,le,0.48,neutre_le,neutre,23,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,taxidermiste,le,0.3,masculin_le,masculin,30,1.,NA,NA,ale
